eval_d,TB3MS
1/1/34,0.72
2/1/34,0.62
3/1/34,0.24
4/1/34,0.15
5/1/34,0.16
6/1/34,0.15
7/1/34,0.15
8/1/34,0.19
9/1/34,0.21
10/1/34,0.27
11/1/34,0.25
12/1/34,0.23
1/1/35,0.2
2/1/35,0.19
3/1/35,0.15
4/1/35,0.15
5/1/35,0.15
6/1/35,0.15
7/1/35,0.15
8/1/35,0.16
9/1/35,0.2
10/1/35,0.2
11/1/35,0.16
12/1/35,0.15
1/1/36,0.2
2/1/36,0.2
3/1/36,0.2
4/1/36,0.2
5/1/36,0.2
6/1/36,0.2
7/1/36,0.15
8/1/36,0.2
9/1/36,0.16
10/1/36,0.13
11/1/36,0.11
12/1/36,0.12
1/1/37,0.17
2/1/37,0.15
3/1/37,0.38
4/1/37,0.56
5/1/37,0.41
6/1/37,0.36
7/1/37,0.28
8/1/37,0.29
9/1/37,0.31
10/1/37,0.2
11/1/37,0.09
12/1/37,0.11
1/1/38,0.1
2/1/38,0.08
3/1/38,0.08
4/1/38,0.09
5/1/38,0.05
6/1/38,0.05
7/1/38,0.07
8/1/38,0.06
9/1/38,0.08
10/1/38,0.05
11/1/38,0.04
12/1/38,0.03
1/1/39,0.03
2/1/39,0.03
3/1/39,0.03
4/1/39,0.03
5/1/39,0.03
6/1/39,0.03
7/1/39,0.04
8/1/39,0.05
9/1/39,0.14
10/1/39,0.05
11/1/39,0.05
12/1/39,0.04
1/1/40,0.01
2/1/40,0.02
3/1/40,0.02
4/1/40,0.02
5/1/40,0.06
6/1/40,0.1
7/1/40,0.05
8/1/40,0.04
9/1/40,0.05
10/1/40,0.02
11/1/40,0.02
12/1/40,0.02
1/1/41,0.02
2/1/41,0.04
3/1/41,0.11
4/1/41,0.1
5/1/41,0.11
6/1/41,0.12
7/1/41,0.12
8/1/41,0.13
9/1/41,0.1
10/1/41,0.09
11/1/41,0.28
12/1/41,0.33
1/1/42,0.27
2/1/42,0.25
3/1/42,0.25
4/1/42,0.32
5/1/42,0.37
6/1/42,0.37
7/1/42,0.38
8/1/42,0.38
9/1/42,0.38
10/1/42,0.38
11/1/42,0.38
12/1/42,0.38
1/1/43,0.38
2/1/43,0.38
3/1/43,0.38
4/1/43,0.38
5/1/43,0.38
6/1/43,0.38
7/1/43,0.38
8/1/43,0.38
9/1/43,0.38
10/1/43,0.38
11/1/43,0.38
12/1/43,0.38
1/1/44,0.38
2/1/44,0.38
3/1/44,0.38
4/1/44,0.38
5/1/44,0.38
6/1/44,0.38
7/1/44,0.38
8/1/44,0.38
9/1/44,0.38
10/1/44,0.38
11/1/44,0.38
12/1/44,0.38
1/1/45,0.38
2/1/45,0.38
3/1/45,0.38
4/1/45,0.38
5/1/45,0.38
6/1/45,0.38
7/1/45,0.38
8/1/45,0.38
9/1/45,0.38
10/1/45,0.38
11/1/45,0.38
12/1/45,0.38
1/1/46,0.38
