eval_d,code_,value_
2/3/90,TB3MS,7.64
2/4/90,TB3MS,7.64
2/5/90,TB3MS,7.64
2/6/90,TB3MS,7.64
2/7/90,TB3MS,7.64
2/8/90,TB3MS,7.64
2/9/90,TB3MS,7.64
2/10/90,TB3MS,7.64
2/11/90,TB3MS,7.64
2/12/90,TB3MS,7.64
2/13/90,TB3MS,7.64
2/14/90,TB3MS,7.64
2/15/90,TB3MS,7.64
2/16/90,TB3MS,7.64
2/17/90,TB3MS,7.64
2/18/90,TB3MS,7.64
2/19/90,TB3MS,7.64
2/20/90,TB3MS,7.64
2/21/90,TB3MS,7.64
2/22/90,TB3MS,7.64
2/23/90,TB3MS,7.64
2/24/90,TB3MS,7.64
2/25/90,TB3MS,7.64
2/26/90,TB3MS,7.64
2/27/90,TB3MS,7.64
2/28/90,TB3MS,7.64
3/1/90,TB3MS,7.64
3/2/90,TB3MS,7.64
3/3/90,TB3MS,7.64
3/4/90,TB3MS,7.64
3/5/90,TB3MS,7.64
3/6/90,TB3MS,7.74
3/7/90,TB3MS,7.74
3/8/90,TB3MS,7.74
3/9/90,TB3MS,7.74
3/10/90,TB3MS,7.74
3/11/90,TB3MS,7.74
3/12/90,TB3MS,7.74
3/13/90,TB3MS,7.74
3/14/90,TB3MS,7.74
3/15/90,TB3MS,7.74
3/16/90,TB3MS,7.74
3/17/90,TB3MS,7.74
3/18/90,TB3MS,7.74
3/19/90,TB3MS,7.74
3/20/90,TB3MS,7.74
3/21/90,TB3MS,7.74
3/22/90,TB3MS,7.74
3/23/90,TB3MS,7.74
3/24/90,TB3MS,7.74
3/25/90,TB3MS,7.74
3/26/90,TB3MS,7.74
3/27/90,TB3MS,7.74
3/28/90,TB3MS,7.74
3/29/90,TB3MS,7.74
3/30/90,TB3MS,7.74
3/31/90,TB3MS,7.74
4/1/90,TB3MS,7.74
4/2/90,TB3MS,7.74
4/3/90,TB3MS,7.9
4/4/90,TB3MS,7.9
4/5/90,TB3MS,7.9
4/6/90,TB3MS,7.9
4/7/90,TB3MS,7.9
4/8/90,TB3MS,7.9
4/9/90,TB3MS,7.9
4/10/90,TB3MS,7.9
4/11/90,TB3MS,7.9
4/12/90,TB3MS,7.9
4/13/90,TB3MS,7.9
4/14/90,TB3MS,7.9
4/15/90,TB3MS,7.9
4/16/90,TB3MS,7.9
4/17/90,TB3MS,7.9
4/18/90,TB3MS,7.9
4/19/90,TB3MS,7.9
4/20/90,TB3MS,7.9
4/21/90,TB3MS,7.9
4/22/90,TB3MS,7.9
4/23/90,TB3MS,7.9
4/24/90,TB3MS,7.9
4/25/90,TB3MS,7.9
4/26/90,TB3MS,7.9
4/27/90,TB3MS,7.9
4/28/90,TB3MS,7.9
4/29/90,TB3MS,7.9
4/30/90,TB3MS,7.9
5/1/90,TB3MS,7.9
5/2/90,TB3MS,7.9
5/3/90,TB3MS,7.9
5/4/90,TB3MS,7.77
5/5/90,TB3MS,7.77
5/6/90,TB3MS,7.77
5/7/90,TB3MS,7.77
5/8/90,TB3MS,7.77
5/9/90,TB3MS,7.77
5/10/90,TB3MS,7.77
5/11/90,TB3MS,7.77
5/12/90,TB3MS,7.77
5/13/90,TB3MS,7.77
5/14/90,TB3MS,7.77
5/15/90,TB3MS,7.77
5/16/90,TB3MS,7.77
5/17/90,TB3MS,7.77
5/18/90,TB3MS,7.77
5/19/90,TB3MS,7.77
5/20/90,TB3MS,7.77
5/21/90,TB3MS,7.77
5/22/90,TB3MS,7.77
5/23/90,TB3MS,7.77
5/24/90,TB3MS,7.77
5/25/90,TB3MS,7.77
5/26/90,TB3MS,7.77
5/27/90,TB3MS,7.77
5/28/90,TB3MS,7.77
5/29/90,TB3MS,7.77
5/30/90,TB3MS,7.77
5/31/90,TB3MS,7.77
6/1/90,TB3MS,7.77
6/2/90,TB3MS,7.77
6/3/90,TB3MS,7.74
6/4/90,TB3MS,7.74
6/5/90,TB3MS,7.74
6/6/90,TB3MS,7.74
6/7/90,TB3MS,7.74
6/8/90,TB3MS,7.74
6/9/90,TB3MS,7.74
6/10/90,TB3MS,7.74
6/11/90,TB3MS,7.74
6/12/90,TB3MS,7.74
6/13/90,TB3MS,7.74
6/14/90,TB3MS,7.74
6/15/90,TB3MS,7.74
6/16/90,TB3MS,7.74
6/17/90,TB3MS,7.74
6/18/90,TB3MS,7.74
6/19/90,TB3MS,7.74
6/20/90,TB3MS,7.74
6/21/90,TB3MS,7.74
6/22/90,TB3MS,7.74
6/23/90,TB3MS,7.74
6/24/90,TB3MS,7.74
6/25/90,TB3MS,7.74
6/26/90,TB3MS,7.74
6/27/90,TB3MS,7.74
6/28/90,TB3MS,7.74
6/29/90,TB3MS,7.74
6/30/90,TB3MS,7.74
7/1/90,TB3MS,7.74
7/2/90,TB3MS,7.74
7/3/90,TB3MS,7.74
7/4/90,TB3MS,7.73
7/5/90,TB3MS,7.73
7/6/90,TB3MS,7.73
7/7/90,TB3MS,7.73
7/8/90,TB3MS,7.73
7/9/90,TB3MS,7.73
7/10/90,TB3MS,7.73
7/11/90,TB3MS,7.73
7/12/90,TB3MS,7.73
7/13/90,TB3MS,7.73
7/14/90,TB3MS,7.73
7/15/90,TB3MS,7.73
7/16/90,TB3MS,7.73
7/17/90,TB3MS,7.73
7/18/90,TB3MS,7.73
7/19/90,TB3MS,7.73
7/20/90,TB3MS,7.73
7/21/90,TB3MS,7.73
7/22/90,TB3MS,7.73
7/23/90,TB3MS,7.73
7/24/90,TB3MS,7.73
7/25/90,TB3MS,7.73
7/26/90,TB3MS,7.73
7/27/90,TB3MS,7.73
7/28/90,TB3MS,7.73
7/29/90,TB3MS,7.73
7/30/90,TB3MS,7.73
7/31/90,TB3MS,7.73
8/1/90,TB3MS,7.73
8/2/90,TB3MS,7.73
8/3/90,TB3MS,7.62
8/4/90,TB3MS,7.62
8/5/90,TB3MS,7.62
8/6/90,TB3MS,7.62
8/7/90,TB3MS,7.62
8/8/90,TB3MS,7.62
8/9/90,TB3MS,7.62
8/10/90,TB3MS,7.62
8/11/90,TB3MS,7.62
8/12/90,TB3MS,7.62
8/13/90,TB3MS,7.62
8/14/90,TB3MS,7.62
8/15/90,TB3MS,7.62
8/16/90,TB3MS,7.62
8/17/90,TB3MS,7.62
8/18/90,TB3MS,7.62
8/19/90,TB3MS,7.62
8/20/90,TB3MS,7.62
8/21/90,TB3MS,7.62
8/22/90,TB3MS,7.62
8/23/90,TB3MS,7.62
8/24/90,TB3MS,7.62
8/25/90,TB3MS,7.62
8/26/90,TB3MS,7.62
8/27/90,TB3MS,7.62
8/28/90,TB3MS,7.62
8/29/90,TB3MS,7.62
8/30/90,TB3MS,7.62
8/31/90,TB3MS,7.62
9/1/90,TB3MS,7.62
9/2/90,TB3MS,7.62
9/3/90,TB3MS,7.45
9/4/90,TB3MS,7.45
9/5/90,TB3MS,7.45
9/6/90,TB3MS,7.45
9/7/90,TB3MS,7.45
9/8/90,TB3MS,7.45
9/9/90,TB3MS,7.45
9/10/90,TB3MS,7.45
9/11/90,TB3MS,7.45
9/12/90,TB3MS,7.45
9/13/90,TB3MS,7.45
9/14/90,TB3MS,7.45
9/15/90,TB3MS,7.45
9/16/90,TB3MS,7.45
9/17/90,TB3MS,7.45
9/18/90,TB3MS,7.45
9/19/90,TB3MS,7.45
9/20/90,TB3MS,7.45
9/21/90,TB3MS,7.45
9/22/90,TB3MS,7.45
9/23/90,TB3MS,7.45
9/24/90,TB3MS,7.45
9/25/90,TB3MS,7.45
9/26/90,TB3MS,7.45
9/27/90,TB3MS,7.45
9/28/90,TB3MS,7.45
9/29/90,TB3MS,7.45
9/30/90,TB3MS,7.45
10/1/90,TB3MS,7.45
10/2/90,TB3MS,7.45
10/3/90,TB3MS,7.45
10/4/90,TB3MS,7.36
10/5/90,TB3MS,7.36
10/6/90,TB3MS,7.36
10/7/90,TB3MS,7.36
10/8/90,TB3MS,7.36
10/9/90,TB3MS,7.36
10/10/90,TB3MS,7.36
10/11/90,TB3MS,7.36
10/12/90,TB3MS,7.36
10/13/90,TB3MS,7.36
10/14/90,TB3MS,7.36
10/15/90,TB3MS,7.36
10/16/90,TB3MS,7.36
10/17/90,TB3MS,7.36
10/18/90,TB3MS,7.36
10/19/90,TB3MS,7.36
10/20/90,TB3MS,7.36
10/21/90,TB3MS,7.36
10/22/90,TB3MS,7.36
10/23/90,TB3MS,7.36
10/24/90,TB3MS,7.36
10/25/90,TB3MS,7.36
10/26/90,TB3MS,7.36
10/27/90,TB3MS,7.36
10/28/90,TB3MS,7.36
10/29/90,TB3MS,7.36
10/30/90,TB3MS,7.36
10/31/90,TB3MS,7.36
11/1/90,TB3MS,7.36
11/2/90,TB3MS,7.36
11/3/90,TB3MS,7.17
11/4/90,TB3MS,7.17
11/5/90,TB3MS,7.17
11/6/90,TB3MS,7.17
11/7/90,TB3MS,7.17
11/8/90,TB3MS,7.17
11/9/90,TB3MS,7.17
11/10/90,TB3MS,7.17
11/11/90,TB3MS,7.17
11/12/90,TB3MS,7.17
11/13/90,TB3MS,7.17
11/14/90,TB3MS,7.17
11/15/90,TB3MS,7.17
11/16/90,TB3MS,7.17
11/17/90,TB3MS,7.17
11/18/90,TB3MS,7.17
11/19/90,TB3MS,7.17
11/20/90,TB3MS,7.17
11/21/90,TB3MS,7.17
11/22/90,TB3MS,7.17
11/23/90,TB3MS,7.17
11/24/90,TB3MS,7.17
11/25/90,TB3MS,7.17
11/26/90,TB3MS,7.17
11/27/90,TB3MS,7.17
11/28/90,TB3MS,7.17
11/29/90,TB3MS,7.17
11/30/90,TB3MS,7.17
12/1/90,TB3MS,7.17
12/2/90,TB3MS,7.17
12/3/90,TB3MS,7.17
12/4/90,TB3MS,7.06
12/5/90,TB3MS,7.06
12/6/90,TB3MS,7.06
12/7/90,TB3MS,7.06
12/8/90,TB3MS,7.06
12/9/90,TB3MS,7.06
12/10/90,TB3MS,7.06
12/11/90,TB3MS,7.06
12/12/90,TB3MS,7.06
12/13/90,TB3MS,7.06
12/14/90,TB3MS,7.06
12/15/90,TB3MS,7.06
12/16/90,TB3MS,7.06
12/17/90,TB3MS,7.06
12/18/90,TB3MS,7.06
12/19/90,TB3MS,7.06
12/20/90,TB3MS,7.06
12/21/90,TB3MS,7.06
12/22/90,TB3MS,7.06
12/23/90,TB3MS,7.06
12/24/90,TB3MS,7.06
12/25/90,TB3MS,7.06
12/26/90,TB3MS,7.06
12/27/90,TB3MS,7.06
12/28/90,TB3MS,7.06
12/29/90,TB3MS,7.06
12/30/90,TB3MS,7.06
12/31/90,TB3MS,7.06
1/1/91,TB3MS,7.06
1/2/91,TB3MS,7.06
1/3/91,TB3MS,6.74
1/4/91,TB3MS,6.74
1/5/91,TB3MS,6.74
1/6/91,TB3MS,6.74
1/7/91,TB3MS,6.74
1/8/91,TB3MS,6.74
1/9/91,TB3MS,6.74
1/10/91,TB3MS,6.74
1/11/91,TB3MS,6.74
1/12/91,TB3MS,6.74
1/13/91,TB3MS,6.74
1/14/91,TB3MS,6.74
1/15/91,TB3MS,6.74
1/16/91,TB3MS,6.74
1/17/91,TB3MS,6.74
1/18/91,TB3MS,6.74
1/19/91,TB3MS,6.74
1/20/91,TB3MS,6.74
1/21/91,TB3MS,6.74
1/22/91,TB3MS,6.74
1/23/91,TB3MS,6.74
1/24/91,TB3MS,6.74
1/25/91,TB3MS,6.74
1/26/91,TB3MS,6.74
1/27/91,TB3MS,6.74
1/28/91,TB3MS,6.74
1/29/91,TB3MS,6.74
1/30/91,TB3MS,6.74
1/31/91,TB3MS,6.74
2/1/91,TB3MS,6.74
2/2/91,TB3MS,6.74
2/3/91,TB3MS,6.22
2/4/91,TB3MS,6.22
2/5/91,TB3MS,6.22
2/6/91,TB3MS,6.22
2/7/91,TB3MS,6.22
2/8/91,TB3MS,6.22
2/9/91,TB3MS,6.22
2/10/91,TB3MS,6.22
2/11/91,TB3MS,6.22
2/12/91,TB3MS,6.22
2/13/91,TB3MS,6.22
2/14/91,TB3MS,6.22
2/15/91,TB3MS,6.22
2/16/91,TB3MS,6.22
2/17/91,TB3MS,6.22
2/18/91,TB3MS,6.22
2/19/91,TB3MS,6.22
2/20/91,TB3MS,6.22
2/21/91,TB3MS,6.22
2/22/91,TB3MS,6.22
2/23/91,TB3MS,6.22
2/24/91,TB3MS,6.22
2/25/91,TB3MS,6.22
2/26/91,TB3MS,6.22
2/27/91,TB3MS,6.22
2/28/91,TB3MS,6.22
3/1/91,TB3MS,6.22
3/2/91,TB3MS,6.22
3/3/91,TB3MS,6.22
3/4/91,TB3MS,6.22
3/5/91,TB3MS,6.22
3/6/91,TB3MS,5.94
3/7/91,TB3MS,5.94
3/8/91,TB3MS,5.94
3/9/91,TB3MS,5.94
3/10/91,TB3MS,5.94
3/11/91,TB3MS,5.94
3/12/91,TB3MS,5.94
3/13/91,TB3MS,5.94
3/14/91,TB3MS,5.94
3/15/91,TB3MS,5.94
3/16/91,TB3MS,5.94
3/17/91,TB3MS,5.94
3/18/91,TB3MS,5.94
3/19/91,TB3MS,5.94
3/20/91,TB3MS,5.94
3/21/91,TB3MS,5.94
3/22/91,TB3MS,5.94
3/23/91,TB3MS,5.94
3/24/91,TB3MS,5.94
3/25/91,TB3MS,5.94
3/26/91,TB3MS,5.94
3/27/91,TB3MS,5.94
3/28/91,TB3MS,5.94
3/29/91,TB3MS,5.94
3/30/91,TB3MS,5.94
3/31/91,TB3MS,5.94
4/1/91,TB3MS,5.94
